Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Write A Feature Length Screenplay For Film Or Television,Michigan State University,Beginner,4.8,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,"Write a Full Length Feature Film Script  In this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between.",Drama  Comedy  peering  screenwriting  film  Document Review  dialogue  creative writing  Writing  unix shells arts-and-humanities music-and-art
Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/canvas-analysis-miro,"By the end of this guided project, you will be fluent in identifying and creating Business Model Canvas solutions based on previous high-level analyses and research data.",Finance  business plan  persona (user experience)  business model canvas  Planning  Business  project  Product Development  presentation  Strategy business business-strategy
Silicon Thin Film Solar Cells,cole Polytechnique,Advanced,4.1,https://www.coursera.org/learn/silicon-thin-film-solar-cells,This course consists of a general presentation of solar cells based on silicon thin films.,chemistry  physics  Solar Energy  film  lambda calculus  Electrical Engineering  electronics  energy  silicon  thinning physical-science-and-engineering electrical-engineering
Finance for Managers,IESE Business School,Intermediate,4.8,https://www.coursera.org/learn/operational-finance,"When it comes to numbers, there is always more than meets the eye.",accounts receivable  dupont analysis  analysis  Accounting  Finance  Operations Management  Leadership and Management  balance sheet  inventory  Financial Analysis business finance
Retrieve Data using Single-Table SQL Queries,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/single-table-sql-queries,In this course youll learn how to effectively retrieve data from a relational database table using the SQL language.,Data Analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  Databases  web page  numbers (spreadsheet)  SQL information-technology data-management
Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,Selenium is one of the most widely used functional UI automation testing tools and TestNG is a brilliant testing framework.,maintenance  test case  test automation  screenshot  project  helper class  selenium  reusability  debugging  php computer-science software-development
Doing Business in China Capstone,The Chinese University of Hong Kong,Advanced,3.3,https://www.coursera.org/learn/doing-business-in-china-capstone,Doing Business in China Capstone enables you to apply your skills to real business challenges.,marketing plan  Planning  Marketing  consumption (economics)  wait (system call)  business plan  strategic planning  audience  project  Writing business business-strategy
"Programming Languages, Part A",University of Washington,Intermediate,4.9,https://www.coursera.org/learn/programming-languages,"This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming.",inference  ml (programming language)  higher-order function  functional programming  type inference  pattern matching  euler's totient function  language  ?-recursive function  Computer Programming computer-science software-development
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,The State University of New York,Intermediate,4.3,https://www.coursera.org/learn/nonprofit-gov-2,This course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations.,Planning  Peer Review  fundraising  strategic planning  resource  concept testing  leadership  measurement  performance  evaluation business leadership-and-management
Business Russian Communication. Part 3,Saint Petersburg State University,Intermediate,Not Calibrated,https://www.coursera.org/learn/business-russian-communication-3,"Russian is considered to be one of the most difficult languages in the world, and many learners struggle to master its grammar and pronunciation.",Russian  market (economics)  tax exemption  cooperation  Communication  Taxes  adjective  h.e.a.r.  listening  c dynamic memory allocation language-learning other-languages
